leng,pos,neg,rating
225,8,4,4
46,1,1,5
75,2,2,4
37,3,1,5
28,1,0,5
40,5,1,5
46,3,2,5
289,11,5,5
28,1,0,4
27,2,0,3
45,3,1,5
207,6,3,4
215,11,1,5
49,4,0,5
23,2,1,4
73,7,1,5
36,2,0,5
27,2,1,4
40,3,1,5
113,1,0,5
37,2,3,1
74,2,2,4
68,3,3,5
125,3,6,5
55,3,1,4
56,3,1,5
71,6,1,5
61,7,0,5
176,6,8,3
3,1,0,4
179,4,1,5
46,3,0,5
27,5,0,5
326,20,6,4
43,3,0,5
54,4,2,5
205,19,8,5
55,1,1,5
61,3,2,4
50,6,1,5
425,15,1,4
210,12,2,5
63,5,1,5
58,2,2,5
22,3,0,5
22,4,0,4
52,3,1,5
69,2,0,4
40,3,1,5
40,4,0,5
36,4,0,5
32,2,0,1
31,3,0,5
160,8,5,4
33,3,3,4
28,2,1,5
50,3,1,5
26,0,0,5
30,3,0,5
75,4,1,4
37,4,0,5
45,9,0,5
274,13,2,4
63,3,0,3
74,5,4,5
73,3,2,5
87,1,2,5
99,6,0,5
23,2,0,5
24,4,0,5
145,3,3,5
29,6,0,5
185,6,4,3
1719,54,33,3
29,2,0,5
96,4,2,4
82,2,3,1
25,4,0,5
53,2,0,5
75,6,0,5
95,4,3,5
218,5,7,5
157,10,2,3
77,6,1,5
68,5,1,5
46,2,1,5
415,18,10,3
97,4,1,4
97,3,2,3
39,4,1,5
93,5,0,5
83,1,2,1
60,5,2,4
350,12,6,4
26,2,0,5
51,0,4,5
84,1,4,4
250,9,4,5
52,5,0,5
160,3,5,2
132,1,6,4
182,13,2,5
129,6,3,4
19,1,1,5
41,4,0,5
63,5,0,5
44,6,0,5
25,2,0,3
27,3,0,5
28,3,1,4
27,2,1,5
129,5,4,5
73,4,3,5
211,11,4,5
52,8,0,5
611,21,13,5
28,5,0,5
76,1,0,5
89,4,5,5
61,1,0,5
39,4,1,5
73,3,0,5
22,4,0,5
34,2,0,5
39,0,1,1
34,4,2,5
160,8,0,5
89,6,1,4
28,4,0,5
133,9,7,5
23,4,1,5
259,12,8,4
29,4,0,5
45,3,2,5
139,5,2,3
33,7,0,5
20,0,0,5
30,4,1,4
31,3,2,5
404,13,12,4
57,5,0,5
70,4,0,5
238,5,3,5
54,2,0,5
21,2,1,4
29,0,0,5
174,13,1,4
55,2,1,5
32,1,1,2
84,5,2,5
73,4,2,4
120,13,3,5
29,2,0,5
118,3,3,5
140,3,2,5
76,3,1,4
35,1,1,5
115,2,4,5
35,3,0,5
325,15,8,5
32,2,0,3
24,4,0,4
254,9,4,5
149,7,0,5
56,0,1,5
38,2,0,5
115,7,1,5
26,1,0,5
118,11,2,4
76,2,1,4
35,2,0,3
33,3,0,5
42,4,1,5
465,23,10,5
83,6,0,5
43,2,0,5
443,21,13,5
118,6,1,5
80,6,1,3
118,5,4,5
32,5,1,5
34,3,2,5
155,9,1,5
427,21,9,5
29,2,0,5
71,6,1,5
31,5,0,4
39,2,1,5
31,5,0,5
202,13,1,5
42,3,0,5
32,3,0,5
129,5,3,5
29,4,0,5
81,2,2,4
62,3,3,4
27,2,1,5
82,2,1,4
24,2,2,5
133,7,0,5
100,3,2,5
32,2,2,3
93,3,2,5
68,3,1,5
201,6,1,4
31,1,1,5
35,5,1,5
26,1,1,5
27,2,0,5
100,10,1,5
102,6,2,5
40,0,1,5
79,1,1,3
29,4,0,5
61,1,2,3
89,4,1,4
173,10,0,5
35,3,0,5
147,6,4,5
25,3,1,5
257,8,2,5
32,0,2,1
34,3,0,5
368,12,5,5
63,1,2,4
39,4,0,5
50,2,2,5
75,3,1,3
207,6,6,4
40,2,0,5
144,8,1,4
158,8,2,5
49,1,0,5
50,3,0,5
39,3,1,5
248,12,5,5
166,13,3,5
32,1,0,5
67,1,1,5
44,4,4,5
33,3,0,4
498,31,11,5
41,3,1,5
440,14,14,4
85,4,1,5
231,14,2,4
107,4,4,5
35,5,0,5
33,4,1,5
45,5,0,5
91,6,5,5
29,2,2,5
47,4,0,5
64,2,1,5
272,10,6,4
206,4,2,5
27,4,0,5
89,4,2,1
38,3,0,5
58,3,0,5
38,4,0,5
33,4,0,4
68,4,1,5
106,10,1,5
33,3,1,5
77,5,2,5
43,4,0,5
41,3,1,5
110,5,0,5
114,6,2,5
24,3,0,5
96,4,1,4
37,5,1,4
287,11,10,5
29,2,0,5
207,8,3,5
199,8,6,5
24,2,0,5
25,1,1,5
23,6,0,5
26,2,1,5
166,11,3,5
40,2,0,5
30,2,1,3
26,3,0,5
87,6,1,5
38,4,0,5
38,2,0,5
43,1,0,5
146,0,5,4
399,14,14,2
54,3,1,5
41,5,2,4
58,3,1,5
166,15,2,4
43,1,0,5
42,2,1,5
