len_word,pos,neg,rating
31,3,1,5
106,3,1,5
31,2,0,5
77,7,1,2
57,5,0,5
60,5,2,4
259,16,1,5
36,2,1,5
256,13,8,5
137,6,3,5
40,2,0,5
674,15,16,5
48,0,0,1
77,5,0,5
155,15,3,5
248,12,5,5
26,5,0,5
22,1,0,5
145,3,3,5
47,3,0,5
36,3,1,5
49,5,0,5
229,14,4,5
211,11,4,5
31,2,0,5
81,8,2,5
66,6,0,5
117,10,2,5
120,13,3,5
96,7,3,5
230,19,4,5
33,4,1,5
214,11,3,5
33,4,0,4
64,2,2,4
77,2,2,4
51,6,1,5
64,4,1,3
86,1,2,2
57,4,0,5
55,4,0,5
191,7,2,5
177,9,3,5
34,3,0,5
34,1,1,5
665,29,4,5
28,4,0,5
143,2,4,5
27,1,1,4
207,6,3,4
109,9,0,5
120,7,2,4
56,4,2,5
23,2,0,5
66,5,2,4
101,2,0,3
254,6,4,5
25,4,2,5
91,6,5,5
27,3,0,5
71,5,3,5
35,5,0,5
46,3,0,5
42,4,0,5
295,11,4,4
220,3,7,2
95,4,3,5
88,4,3,5
312,22,4,5
28,3,0,4
27,3,1,5
145,1,6,2
31,1,1,3
91,9,2,5
55,2,4,5
38,5,0,5
42,3,2,1
30,4,0,5
36,0,1,5
56,1,2,5
199,11,1,5
23,3,0,5
23,1,0,5
41,3,0,3
64,4,1,2
92,7,2,5
32,1,0,5
28,2,0,5
74,5,4,5
66,1,2,2
22,2,0,5
63,3,0,3
28,2,0,5
27,1,0,5
63,1,1,5
51,4,0,5
56,3,2,2
72,4,4,5
466,21,8,4
31,3,0,5
160,11,3,5
79,9,0,3
92,6,0,5
121,9,0,5
95,7,1,5
33,8,2,5
95,3,3,3
31,1,0,5
42,3,1,5
153,5,1,5
122,3,2,5
58,2,1,4
187,7,2,5
118,5,4,5
35,4,3,5
207,8,3,5
49,2,0,5
22,4,0,4
164,5,2,4
85,4,1,5
96,4,1,5
47,6,0,5
160,12,7,5
38,5,0,5
97,6,4,4
41,2,1,4
356,10,4,5
33,1,0,5
25,4,0,5
160,7,2,5
180,4,2,4
64,2,2,5
105,3,2,5
95,5,1,5
